n,a,m2,contagious_set,computation_time,timestamp
27,4,4,"[0, 1, 2, 3]",0.0029637813568115234,2025-12-17T21:45:37.390129
27,5,4,"[0, 1, 2, 3]",0.0029816627502441406,2025-12-17T21:45:37.393126
27,7,3,"[7, 13, 14]",0.0015993118286132812,2025-12-17T21:45:37.394743
27,8,2,"[13, 18]",0.0004322528839111328,2025-12-17T21:45:37.395201
27,10,2,"[0, 13]",0.00017952919006347656,2025-12-17T21:45:37.395397
27,11,3,"[17, 20, 22]",0.0015666484832763672,2025-12-17T21:45:37.396979
27,13,4,"[0, 1, 2, 3]",0.003290891647338867,2025-12-17T21:45:37.400288
27,14,4,"[0, 1, 2, 3]",0.003162384033203125,2025-12-17T21:45:37.403497
27,16,3,"[17, 20, 22]",0.0015568733215332031,2025-12-17T21:45:37.405087
27,17,2,"[0, 13]",0.00020122528076171875,2025-12-17T21:45:37.405328
27,19,2,"[13, 18]",0.00045561790466308594,2025-12-17T21:45:37.405803
27,20,3,"[7, 13, 14]",0.001544952392578125,2025-12-17T21:45:37.407366
27,22,4,"[0, 1, 2, 3]",0.003092527389526367,2025-12-17T21:45:37.410482
27,23,4,"[0, 1, 2, 3]",0.003081798553466797,2025-12-17T21:45:37.413597
27,25,3,"[0, 1, 2]",0.0012943744659423828,2025-12-17T21:45:37.414924
27,26,2,"[0, 23]",0.0003654956817626953,2025-12-17T21:45:37.415317
28,1,2,"[21, 23]",0.000431060791015625,2025-12-17T21:45:37.415810
28,2,3,"[0, 1, 2]",0.0013518333435058594,2025-12-17T21:45:37.417205
28,4,4,"[0, 7, 14, 21]",0.0030066967010498047,2025-12-17T21:45:37.420248
28,5,4,"[2, 3, 11, 12]",0.0035767555236816406,2025-12-17T21:45:37.423848
28,6,2,"[0, 3]",0.0002841949462890625,2025-12-17T21:45:37.424154
28,7,4,"[2, 3, 11, 12]",0.003496885299682617,2025-12-17T21:45:37.427666
28,8,3,"[11, 20, 26]",0.0025398731231689453,2025-12-17T21:45:37.430246
28,9,2,"[7, 13]",0.0005662441253662109,2025-12-17T21:45:37.430862
28,10,4,"[0, 7, 14, 21]",0.0026655197143554688,2025-12-17T21:45:37.433560
28,11,2,"[0, 14]",0.0001380443572998047,2025-12-17T21:45:37.433723
28,12,3,"[0, 9, 18]",0.0011277198791503906,2025-12-17T21:45:37.434865
28,13,3,"[0, 9, 18]",0.0011265277862548828,2025-12-17T21:45:37.436008
28,15,3,"[0, 9, 18]",0.0011556148529052734,2025-12-17T21:45:37.437178
28,16,3,"[0, 9, 18]",0.0011570453643798828,2025-12-17T21:45:37.438350
28,17,2,"[0, 14]",0.00013589859008789062,2025-12-17T21:45:37.438500
28,18,4,"[0, 7, 14, 21]",0.0026988983154296875,2025-12-17T21:45:37.441212
28,19,2,"[7, 13]",0.0005505084991455078,2025-12-17T21:45:37.441779
28,20,3,"[11, 20, 26]",0.0021114349365234375,2025-12-17T21:45:37.443921
28,21,4,"[2, 3, 11, 12]",0.0033485889434814453,2025-12-17T21:45:37.447294
28,22,2,"[0, 3]",0.0002810955047607422,2025-12-17T21:45:37.447591
28,23,4,"[2, 3, 11, 12]",0.003542661666870117,2025-12-17T21:45:37.451149
28,24,4,"[0, 7, 14, 21]",0.002996206283569336,2025-12-17T21:45:37.454166
28,26,3,"[0, 1, 2]",0.0012810230255126953,2025-12-17T21:45:37.455466
28,27,2,"[21, 23]",0.0003829002380371094,2025-12-17T21:45:37.455867
29,1,2,"[21, 23]",0.0004086494445800781,2025-12-17T21:45:37.456308
29,2,3,"[0, 1, 2]",0.001283884048461914,2025-12-17T21:45:37.457608
29,4,4,"[0, 7, 14, 21]",0.0028388500213623047,2025-12-17T21:45:37.460472
29,5,4,"[0, 7, 14, 21]",0.0031228065490722656,2025-12-17T21:45:37.463619
29,6,2,"[0, 3]",0.0003452301025390625,2025-12-17T21:45:37.464020
29,7,4,"[2, 13, 17, 18]",0.003191709518432617,2025-12-17T21:45:37.467242
29,8,3,"[4, 7, 23]",0.001535654067993164,2025-12-17T21:45:37.468800
29,9,2,"[3, 20]",0.00036025047302246094,2025-12-17T21:45:37.469181
29,10,3,"[0, 3, 20]",0.0015761852264404297,2025-12-17T21:45:37.470773
29,11,3,"[2, 3, 10]",0.0018744468688964844,2025-12-17T21:45:37.472665
29,12,3,"[0, 9, 18]",0.0012984275817871094,2025-12-17T21:45:37.473989
29,13,2,"[0, 3]",0.0002982616424560547,2025-12-17T21:45:37.474307
29,14,3,"[0, 9, 18]",0.0013508796691894531,2025-12-17T21:45:37.475674
29,15,3,"[0, 9, 18]",0.0013456344604492188,2025-12-17T21:45:37.477035
29,16,2,"[0, 3]",0.0002970695495605469,2025-12-17T21:45:37.477347
29,17,3,"[0, 9, 18]",0.0013010501861572266,2025-12-17T21:45:37.478663
29,18,3,"[2, 3, 10]",0.0018444061279296875,2025-12-17T21:45:37.480522
29,19,3,"[0, 3, 20]",0.00164031982421875,2025-12-17T21:45:37.482181
29,20,2,"[3, 20]",0.0003712177276611328,2025-12-17T21:45:37.482572
29,21,3,"[4, 7, 23]",0.0016129016876220703,2025-12-17T21:45:37.484202
29,22,4,"[2, 13, 17, 18]",0.003482818603515625,2025-12-17T21:45:37.487702
29,23,2,"[0, 3]",0.0003104209899902344,2025-12-17T21:45:37.488044
29,24,4,"[0, 7, 14, 21]",0.0031194686889648438,2025-12-17T21:45:37.491182
29,25,4,"[0, 7, 14, 21]",0.0029795169830322266,2025-12-17T21:45:37.494184
29,27,3,"[0, 1, 2]",0.0015666484832763672,2025-12-17T21:45:37.495785
29,28,2,"[21, 23]",0.0006346702575683594,2025-12-17T21:45:37.496489
30,1,2,"[21, 23]",0.0004277229309082031,2025-12-17T21:45:37.496972
30,2,3,"[0, 1, 2]",0.001255035400390625,2025-12-17T21:45:37.498244
30,4,4,"[0, 7, 14, 21]",0.0027959346771240234,2025-12-17T21:45:37.501060
30,5,4,"[8, 14, 18, 25]",0.003757953643798828,2025-12-17T21:45:37.504838
30,7,3,"[0, 10, 20]",0.001247406005859375,2025-12-17T21:45:37.506138
30,8,3,"[4, 7, 23]",0.0014276504516601562,2025-12-17T21:45:37.507588
30,10,6,"[4, 6, 8, 10, 13, 22]",0.008709192276000977,2025-12-17T21:45:37.516315
30,11,2,"[2, 18]",0.0004596710205078125,2025-12-17T21:45:37.516828
30,13,3,"[0, 10, 20]",0.0012807846069335938,2025-12-17T21:45:37.518127
30,14,4,"[0, 1, 2, 6]",0.0036144256591796875,2025-12-17T21:45:37.521761
30,16,4,"[0, 1, 2, 6]",0.0035452842712402344,2025-12-17T21:45:37.525342
30,17,3,"[0, 10, 20]",0.00128173828125,2025-12-17T21:45:37.526646
30,19,2,"[2, 18]",0.00045490264892578125,2025-12-17T21:45:37.527117
