n,a,m2,is_valid,contagious_set
289,12,4.0,True,"[0, 3, 15, 18]"
290,12,4.0,True,"[0, 3, 15, 18]"
291,12,,False,
292,12,4.0,True,"[0, 3, 15, 18]"
293,12,4.0,True,"[0, 3, 15, 18]"
294,12,,False,
295,12,4.0,True,"[0, 3, 15, 18]"
296,12,4.0,True,"[0, 3, 15, 18]"
297,12,,False,
298,12,4.0,True,"[0, 3, 15, 18]"
299,12,4.0,True,"[0, 3, 15, 18]"
300,12,,False,
